iter	Passed	Remaining
0	22	2196
1	48	2361
2	66	2161
3	92	2212
4	118	2243
5	147	2305
6	174	2319
7	199	2295
8	225	2282
9	250	2250
10	276	2235
11	301	2213
12	333	2233
13	357	2193
14	384	2178
15	409	2150
16	433	2117
17	450	2050
18	470	2003
19	491	1967
20	511	1925
21	532	1886
22	552	1849
23	569	1803
24	589	1768
25	610	1736
26	641	1734
27	661	1701
28	678	1660
29	696	1625
30	714	1590
31	733	1558
32	754	1530
33	774	1503
34	803	1491
35	820	1458
36	838	1427
37	863	1409
38	881	1378
39	902	1353
40	920	1324
41	938	1296
42	958	1270
43	984	1253
44	1001	1224
45	1022	1200
46	1048	1182
47	1073	1163
48	1102	1147
49	1125	1125
50	1147	1102
51	1176	1086
52	1194	1059
53	1226	1044
54	1260	1031
55	1284	1008
56	1306	985
57	1327	961
58	1360	945
59	1391	927
60	1411	902
61	1429	876
62	1446	849
63	1464	823
64	1484	799
65	1505	775
66	1525	751
67	1542	725
68	1562	701
69	1584	679
70	1611	658
71	1633	635
72	1665	615
73	1683	591
74	1704	568
75	1726	545
76	1745	521
77	1766	498
78	1787	475
79	1812	453
80	1831	429
81	1860	408
82	1885	386
83	1918	365
84	1941	342
85	1958	318
86	1976	295
87	2027	276
88	2094	258
89	2161	240
90	2199	217
91	2229	193
92	2255	169
93	2284	145
94	2308	121
95	2329	97
96	2365	73
97	2388	48
98	2411	24
99	2444	0
