,Hour,Month,DayOfWeek,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator
0,11,1,4,0,2,0,0,0,350,120.0,3,65,0
1,14,1,5,1,9,1,1,2,120,100.0,3,78,0
2,18,1,6,2,4451,3,1,2,0,0.0,3,53,1
3,2,1,0,5,241,2,1,0,350,120.0,3,92,0
4,6,1,1,6,2860,1,0,1,140,100.0,3,60,0
5,10,1,2,4,402,0,1,1,160,100.0,3,105,0
6,15,1,3,3,3567,1,0,0,180,160.0,3,70,0
7,20,1,4,0,528,2,1,0,350,90.0,3,88,0
8,1,1,5,1,4244,0,0,2,120,0.0,3,45,0
9,7,1,6,2,4451,3,1,2,0,0.0,3,72,1
10,12,1,0,5,112,2,0,0,350,120.0,3,58,0
11,17,1,1,6,47,1,1,1,140,120.0,3,81,0
12,22,1,2,4,64,0,0,1,160,120.0,3,67,0
13,4,1,3,3,71,1,1,0,180,180.0,3,98,1
14,8,1,4,0,317,0,0,0,350,120.0,3,50,0
15,13,1,5,1,405,1,1,2,120,90.0,3,75,0
16,16,1,6,2,4451,3,1,2,0,0.0,3,62,1
17,22,1,0,5,526,2,1,0,350,120.0,3,84,0
18,2,1,1,6,572,1,0,1,140,120.0,3,55,0
19,7,1,2,4,792,0,1,1,160,160.0,3,80,1
20,12,1,3,3,801,1,0,0,180,100.0,3,68,0
21,15,1,4,0,822,2,1,0,350,265.0,3,90,1
22,21,1,5,1,842,0,0,2,120,90.0,3,48,0
23,3,1,6,2,4451,3,1,2,0,0.0,3,77,1
24,7,1,0,5,882,2,0,0,350,120.0,3,63,0
25,11,1,1,6,897,1,1,1,140,140.0,3,87,1
26,16,2,2,4,907,0,0,1,160,100.0,3,52,0
27,21,2,3,3,917,1,1,0,180,120.0,3,95,0
28,3,2,4,0,936,2,0,0,350,265.0,3,73,1
29,8,2,5,1,941,0,1,2,120,120.0,3,82,1
30,13,2,6,2,4451,3,1,2,0,0.0,3,57,1
31,18,2,0,5,978,2,1,0,350,265.0,3,96,1
32,23,2,1,6,164,1,0,1,140,100.0,3,66,0
33,5,2,2,4,1007,0,1,1,160,160.0,3,89,1
